,0,1
1213,commenced,4
1214,haul,1
1215,increased,3
1216,gold,3
1217,compact,1
1218,bullet,1
1219,shaped,2
1220,unintelligent,1
1221,staring,1
1222,thumped,1
1223,planking,4
1224,strokes,1
1225,neat,1
1226,fast-moving,2
1227,hit,26
1228,kindness,1
1229,kicked,2
1230,body,9
1231,shuddering,1
1232,weigh,1
1233,ten,5
1234,sung,2
1235,steering,2
1236,watch,3
1237,smacks,1
1238,probably,2
1239,talked,1
1240,storm-bound,1
1241,considered,2
1242,virtue,1
1243,unnecessarily,1
1244,respected,1
1245,thoughts,2
1246,annoy,1
1247,talking,1
1248,loud,1
1249,crazy,2
1250,rich,1
1251,radios,1
1252,born,6
1253,straggler,1
1254,feeding,2
1255,shows,2
1256,travels,1
1257,north-east,2
1258,sign,2
1259,tops,1
1260,snow-capped,1
1261,snow,1
1262,above,8
1263,prisms,3
1264,myriad,1
1265,flecks,1
1266,annulled,1
1267,mile,4
1268,species,1
1269,distinguished,1
1270,among,3
1271,sell,3
1272,trade,5
1273,hot,4
1274,sweat,4
1275,trickle,1
1276,bight,1
1277,toe,1
1278,bumping,1
1279,softly,3
1280,thumb,5
1281,forefinger,2
1282,strain,12
1283,tentative,1
1284,hand-forged,1
1285,projected,1
1286,unleashed,2
1287,run,3
1288,fingers,10
1289,tension,4
1290,please,2
1291,six,3
1292,turn,15
1293,pulling,9
1294,break,8
1295,lovely,2
1296,shy,1
1297,finger,3
1298,swum,1
1299,god,12
1300,christ,2
1301,he's,1
1302,making,5
1303,remembers,1
1304,gentle,3
1305,unbelievably,1
1306,slip,3
1307,unrolling,1
1308,reserve,9
1309,slipping,1
1310,man's,2
1311,pressure,4
1312,imperceptible,1
1313,sideways,1
1314,swallow,2
1315,crosswise,1
1316,stop,2
1317,tightened,2
1318,free,4
1319,next,9
1320,coil,2
1321,using,1
1322,goes,5
1323,gained,4
1324,alternately,1
1325,cord,8
1326,pivoted,2
1327,happened,3
1328,moved,14
1329,raise,2
1330,inch,2
1331,beads,1
1332,slow,4
1333,bracing,2
1334,move,4
1335,north-west,2
1336,travelled,1
1337,calm,10
1338,wish,22
1339,being,6
1340,towed,1
1341,towing,3
1342,bitt,5
1343,travelling,1
1344,decides,2
1345,sounds,1
1346,dies,2
1347,plenty,4
1348,slant,6
1349,kill,22
1350,forever,5
1351,swimming,8
1352,braced,5
1353,solidly,2
1354,noon,4
1355,pushed,6
1356,straw,2
1357,hat,2
1358,forehead,2
1359,thirsty,1
1360,jerk,5
1361,rested,10
1362,un-stepped,1
1363,tried,13
1364,endure,3
1365,visible,1
1366,glow,7
1367,sunrise,2
1368,cramps,3
1369,tight,9
1370,changed,3
1371,direction,1
1372,stars,9
1373,dried,3
1374,legs,7
1375,during,2
1376,sack,5
1377,dry,4
1378,cautiously,1
1379,cushioned,1
1380,comfortable,4
1381,position,1
1382,actually,1
1383,somewhat,1
1384,less,3
1385,intolerable,1
1386,keeps,3
1387,stood,3
1388,checked,2
1389,phosphorescent,2
1390,streak,1
1391,eastward,4
1392,grand,1
1393,wonderful,3
1394,radio,2
1395,doing,3
1396,unavoidable,1
1397,spoils,1
1398,matter,5
1399,porpoise,1
1400,rolling,1
1401,blowing,4
1402,male,8
1403,sighing,1
1404,blow,2
1405,female,4
1406,jokes,1
1407,brothers,5
1408,pity,2
1409,acted,1
1410,strangely,1
1411,wise,1
1412,jump,10
1413,ruin,1
1414,rush,3
1415,fight,13
1416,pulls,1
1417,plans,2
1418,desperate,2
1419,pair,1
1420,feed,6
1421,panic-stricken,1
1422,despairing,1
1423,exhausted,1
1424,stayed,6
1425,crossing,1
1426,afraid,5
1427,sharp,5
1428,scythe,2
1429,size,4
1430,gaffed,1
1431,clubbed,4
1432,rapier,2
1433,bill,6
1434,sandpaper,1
1435,top,5
1436,colour,4
1437,backing,2
1438,mirrors,2
1439,aboard,1
1440,clearing,1
1441,preparing,1
1442,jumped,9
1443,lavender,4
1444,pectoral,3
1445,stripes,8
1446,showing,4
1447,saddest,1
1448,begged,1
1449,pardon,1
1450,promptly,1
1451,settled,7
1452,rounded,1
1453,whatever,2
1454,chosen,1
1455,treachery,2
1456,choice,3
1457,beyond,3
1458,snares,1
1459,traps,2
1460,treacheries,1
1461,world,1
1462,joined,2
1463,surely,3
1464,gets,2
1465,daylight,4
1466,begin,2
1467,gunwale,4
1468,loosened,1
1469,sheath,3
1470,knife,20
1471,wood,18
1472,closest,1
1473,loose,5
1474,ends,2
1475,skillfully,1
1476,drew,7
1477,knots,1
1478,severed,1
1479,connected,1
1480,link,1
1481,catalan,1
1482,cordel,1
1483,hooks,1
1484,leaders,1
1485,replaced,2
1486,replaces,1
1487,cuts,2
1488,broadbill,1
1489,rid,1
1490,last,11
1491,surge,1
1492,eye,10
1493,cheek,2
1494,coagulated,1
1495,chin,2
1496,adjusted,1
1497,carefully,9
1498,anchored,2
1499,progress,1
1500,lurch,4
1501,slipped,4
1502,hill,1
1503,certainly,1
1504,badly,10
1505,cleared,2
1506,trouble,1
1507,dead,9
1508,suppose,2
1509,extended,1
1510,tiring,3
1511,risen,4
1512,realized,1
1513,favorable,1
1514,lesser,1
1515,depth,3
1516,necessarily,1
1517,mean,2
1518,handle,4
1519,increase,2
1520,fill,1
1521,backbone,3
1522,die,5
1523,harshness,1
1524,widens,1
1525,anyway,7
1526,added,4
1527,drag,6
1528,pleased,1
1529,respect,1
1530,warbler,1
1531,tired,13
1532,flew,1
1533,trip,1
1534,examine,1
1535,teetered,1
1536,gripped,3
1537,shouldn't,1
1538,windless,1
1539,hawks,2
1540,meet,1
1541,learn,5
1542,encouraged,1
1543,stiffened,1
1544,hoist,1
1545,friend,5
1546,overboard,3
1547,flown,1
1548,jerked,4
1549,noticed,3
1550,bleeding,2
1551,touching,2
1552,liked,5
1553,company,2
1554,rougher,1
1555,pay,5
1556,attention,3
1557,failure,1
1558,shifting,1
1559,kneeling,1
1560,washed,5
1561,submerged,1
1562,minute,2
1563,movement,3
1564,slowed,2
1565,burn,1
1566,reach,2
1567,comfort,1
1568,knelt,2
1569,keeping,1
1570,knee,1
1571,longitudinally,1
1572,wedge-shaped,2
1573,bone,10
1574,wiped,3
1575,carcass,3
1576,bonito,4
1577,entire,1
1578,cramped,7
1579,disgust,1
1580,cramp,6
1581,claw,1
1582,strengthen,1
1583,fault,2
1584,piece,5
1585,chewed,5
1586,unpleasant,1
1587,chew,2
